Expenses,Amount Spent
Credit Card Overdraft Fee,-1403.6698
Ralph's Grocery Store,-1155.13
Comfort Inn,5.52
Starbucks Coffee,-971.7401
Water & Sewer,-954.0
Taxi,-2745.1384
FedEx Shipping,7.96
Housing Rent - Late Fee,-584.79
Lyft,-2308.3296
Amazon Order - Baby Crib,27.92
Home Depot,1.59
Divorce Lawyer Fees,29.79
Bowling,-2862.79
Public Transportation - Bus Pass,-2550.71
John's Bar & Restaurant,-2235.6204
Restaurant - Pizza,-1096.48
Sprouts Market,-1480.33
Wedding Planner,11.74
Babies "R" Us,118.95
Uber,-2408.7104
Wine Bar,-3114.4692
Time Warner Cable,-450.0
Southwest Flights - Cancun,10.74
Concert Ticket,-2440.5896
Bank Fee - Negative Balance,-623.01996
Paycheck,60700.0
Housing Rent,-19400.0
Kay Jewelry,79.76
Hospital - Prenatal Care,34.82
Karaoke Bar,-2582.82
Seaside Bar,-2825.8406
Refrigerator Depot,26.81
Food Delivery - GrubHub,-1481.41
Time Warne Cable - Late Payment Fee,-477.69
Mark's Movers,18.25
Restaurant - Steakhouse,-1560.8602
Rodriguez's Bar and Grill,-2699.27
Public Transportation - Train Pass,-2855.8699
Movie Ticket,-3378.6194
Hamilton Move & Storage,7.23
Whole Foods,-1577.2001
Restaurant - Burgers,-907.79
Restaurant - Chinese,-1130.1698
Ice Skating Rink,-2417.1702
Water & Sewer - Late Payment Penalty,-457.83
Fisker Night Club,-2598.53
BuyBuyBaby.com,10.46
Best Western Hotel,18.3
Green Flash Brewery,-2283.5498
Jerome's Furniture,17.45
Owl Night Club,-2925.3203
Von's Groceries,-1083.4801
Cancun Beach Resort,37.08

User Id : 57199,
Ralph's Grocery Store,-1379.55
Starbucks Coffee,-1177.13
Water & Sewer,-954.0
Taxi,-2083.9402
FedEx Shipping,30.75
Lyft,-2278.5696
Amazon Order - Baby Crib,45.58
Home Depot,25.41
Goods2 - ThinkGeek,-2461.5999
Public Transportation - Bus Pass,-2595.4902
Amazon Order - Biology Book,-2344.6506
Restaurant - Pizza,-1746.71
Sprouts Market,-1693.67
Wedding Planner,30.5
Babies "R" Us,108.57
Uber,-2788.77
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.85
Paycheck,39256.0
Housing Rent,-19497.0
Kay Jewelry,25.49
Hospital - Prenatal Care,36.31
Refrigerator Depot,30.63
DVD - Star Trek,-2976.6794
Amazon Order - Star Wars Figurine,-2278.7505
Coffee,-2624.0493
Food Delivery - GrubHub,-1311.8898
Mark's Movers,34.11
Restaurant - Steakhouse,-1267.3002
Public Transportation - Train Pass,-2830.1501
Hamilton Move & Storage,58.74
Science Museum,-3481.0105
Whole Foods,-1363.2101
Art Museum,-3146.2004
Mary's Book Store,-2698.8794
Restaurant - Burgers,-1328.0499
Amazon Order - Science Book,-3165.3289
Restaurant - Chinese,-1483.49
Credit Card Payment,-2772.0
BuyBuyBaby.com,5.38
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2745.1196
Jerome's Furniture,24.49
Amazon Order - Mathematics Book,-3308.3706
Online Education Courses,-2738.92
San Diego Museum,-2664.72
Netflix Subscription,-89.81998
Von's Groceries,-1187.5599
Library Membership,-2796.951
Cancun Beach Resort,15.34

User Id : 37551,
Ralph's Grocery Store,-1569.2102
Comfort Inn,32.05
NBA Ticket - Lakers,-3448.6506
Starbucks Coffee,-1536.1199
Taxi,-2157.5203
Lyft,-2320.2498
Divorce Lawyer Fees,21.82
Dick's Sporting Goods,-4288.4307
Athletic Apparel,-3480.9011
Public Transportation - Bus Pass,-2386.92
Restaurant - Pizza,-720.01996
Sprouts Market,-1390.7399
Wedding Planner,29.01
Amazon Order - Athletic Equipment,-3603.7305
Uber,-2078.6995
Southwest Flights - Cancun,20.89
Paycheck,12316.0
Housing Rent,-19175.0
Kay Jewelry,38.19
GNC,-3377.9302
Bike Rental,-3620.44
Vitamin Shoppe,-3136.9697
Food Delivery - GrubHub,-1078.75
Restaurant - Steakhouse,-1475.5499
Public Transportation - Train Pass,-2221.2197
Whole Foods,-1029.7
Restaurant - Burgers,-1160.51
Restaurant - Chinese,-1205.7001
Total Gym Fees,-3940.0198
Navient - Student Loans,-3546.0
NFL Ticket - Chargers,-2897.7698
Best Western Hotel,31.2
Sam's Sporting Apparel,-3929.2996
ACS - Student Loans,-2430.0
Netflix Subscription,-89.81998
Von's Groceries,-991.01
Cancun Beach Resort,25.69

User Id : 50068,
Ralph's Grocery Store,-1565.0999
Comfort Inn,11.52
NBA Ticket - Lakers,-4001.69
Starbucks Coffee,-878.18
Taxi,-2888.7605
FedEx Shipping,11.23
Lyft,-1551.73
Amazon Order - Baby Crib,8.37
Home Depot,20.32
Divorce Lawyer Fees,16.54
Dick's Sporting Goods,-4232.441
Athletic Apparel,-3703.26
Public Transportation - Bus Pass,-2399.3604
Sprouts Market,-988.18005
Restaurant - Pizza,-1166.46
Babies "R" Us,25.81
Wedding Planner,19.25
Amazon Order - Athletic Equipment,-3795.5093
Uber,-2996.61
Southwest Flights - Cancun,19.47
Housing Rent,-18738.0
Paycheck,53160.0
Kay Jewelry,6.29
Hospital - Prenatal Care,43.0
GNC,-4125.289
Bike Rental,-3943.8303
Refrigerator Depot,7.77
Vitamin Shoppe,-3955.8901
Food Delivery - GrubHub,-1322.24
Mark's Movers,28.51
Restaurant - Steakhouse,-1295.77
Public Transportation - Train Pass,-2156.0298
Hamilton Move & Storage,14.68
Whole Foods,-1219.0801
Restaurant - Burgers,-1218.1901
Restaurant - Chinese,-1201.48
Total Gym Fees,-3568.9595
BuyBuyBaby.com,7.13
NFL Ticket - Chargers,-4014.7798
Best Western Hotel,27.28
Sam's Sporting Apparel,-3656.8904
Jerome's Furniture,23.8
Netflix Subscription,-89.81998
Von's Groceries,-990.91003
Cancun Beach Resort,33.6

User Id : 44986,
Credit Card Overdraft Fee,-738.3701
Ralph's Grocery Store,-1068.4601
Comfort Inn,23.41
NBA Ticket - Lakers,-3290.3694
Starbucks Coffee,-1517.6802
Water & Sewer,-954.0
Taxi,-2521.8704
FedEx Shipping,9.61
Housing Rent - Late Fee,-455.13998
Lyft,-3161.26
Amazon Order - Baby Crib,23.45
Home Depot,31.47
Divorce Lawyer Fees,81.38
Dick's Sporting Goods,-3610.7698
Athletic Apparel,-3501.2402
Public Transportation - Bus Pass,-2505.6006
Restaurant - Pizza,-1194.28
Sprouts Market,-982.48
Wedding Planner,34.68
Babies "R" Us,26.45
Amazon Order - Athletic Equipment,-3047.7803
Uber,-2792.4802
Southwest Flights - Cancun,9.31
Bank Fee - Negative Balance,-652.89
Housing Rent,-20142.0
Paycheck,70016.0
Kay Jewelry,24.77
Hospital - Prenatal Care,20.23
GNC,-3300.0193
Bike Rental,-2829.91
Refrigerator Depot,28.42
Vitamin Shoppe,-3602.169
Food Delivery - GrubHub,-1439.63
Time Warne Cable - Late Payment Fee,-374.85
Mark's Movers,38.62
Restaurant - Steakhouse,-908.85
Public Transportation - Train Pass,-1913.1399
Hamilton Move & Storage,36.39
Whole Foods,-1467.6901
Restaurant - Burgers,-1160.2299
Restaurant - Chinese,-1235.85
Total Gym Fees,-4118.9497
Water & Sewer - Late Payment Penalty,-740.53
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,38.24
Gas & Electric,-576.0
NFL Ticket - Chargers,-2941.5603
Best Western Hotel,21.75
Sam's Sporting Apparel,-3185.0105
ACS - Student Loans,-2430.0
Jerome's Furniture,59.25
Von's Groceries,-1610.6798
Cancun Beach Resort,10.68

User Id : 77168,
Ralph's Grocery Store,-1323.5399
Starbucks Coffee,-1131.1401
Water & Sewer,-954.0
Taxi,-2117.3604
FedEx Shipping,32.51
Lyft,-2353.82
Amazon Order - Baby Crib,25.83
Home Depot,33.99
Goods2 - ThinkGeek,-2312.18
Public Transportation - Bus Pass,-3445.6897
Amazon Order - Biology Book,-2927.5002
Restaurant - Pizza,-1449.7397
Sprouts Market,-1145.3397
Wedding Planner,43.05
Babies "R" Us,30.0
Uber,-2804.6797
Time Warner Cable,-450.0
Southwest Flights - Cancun,12.97
Paycheck,59108.0
Housing Rent,-18457.0
Kay Jewelry,29.76
Hospital - Prenatal Care,18.82
Refrigerator Depot,30.2
DVD - Star Trek,-2550.0903
Amazon Order - Star Wars Figurine,-2923.78
Food Delivery - GrubHub,-1771.47
Coffee,-3107.5903
Mark's Movers,102.32
Restaurant - Steakhouse,-1134.01
Public Transportation - Train Pass,-3567.6895
Hamilton Move & Storage,1.65
Science Museum,-2582.3098
Whole Foods,-1389.4602
Art Museum,-2927.8406
Mary's Book Store,-2565.4194
Restaurant - Burgers,-1251.0299
Amazon Order - Science Book,-1821.5898
Restaurant - Chinese,-1441.9501
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,39.02
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Video Game - PlayStation,-2836.53
Jerome's Furniture,4.71
Amazon Order - Mathematics Book,-2922.8604
Online Education Courses,-2473.8293
San Diego Museum,-1975.4296
Netflix Subscription,-89.81998
Von's Groceries,-1136.55
Library Membership,-3255.9995
Cancun Beach Resort,30.46

User Id : 42061,
Ralph's Grocery Store,-949.0
Comfort Inn,37.71
NBA Ticket - Lakers,-3632.2307
Starbucks Coffee,-1366.8301
Water & Sewer,-954.0
Taxi,-2820.6902
FedEx Shipping,16.92
Lyft,-2819.4497
Amazon Order - Baby Crib,21.91
Home Depot,19.58
Divorce Lawyer Fees,48.06
Dick's Sporting Goods,-3749.3198
Athletic Apparel,-3993.7498
Public Transportation - Bus Pass,-2786.4797
Sprouts Market,-796.78
Restaurant - Pizza,-977.4599
Wedding Planner,16.64
Babies "R" Us,29.49
Amazon Order - Athletic Equipment,-4111.03
Uber,-2200.3098
Time Warner Cable,-450.0
Southwest Flights - Cancun,37.83
Housing Rent,-19263.0
Paycheck,70358.0
Kay Jewelry,10.67
Hospital - Prenatal Care,29.56
Bike Rental,-3621.0195
GNC,-3980.9297
Refrigerator Depot,12.92
Food Delivery - GrubHub,-1486.8601
Vitamin Shoppe,-3529.8096
Mark's Movers,30.5
Restaurant - Steakhouse,-1491.4202
Public Transportation - Train Pass,-2623.3398
Hamilton Move & Storage,10.23
Whole Foods,-1095.18
Restaurant - Burgers,-1390.05
Restaurant - Chinese,-1132.6201
Total Gym Fees,-3040.75
Navient - Student Loans,-3546.0
BuyBuyBaby.com,20.17
NFL Ticket - Chargers,-4150.168
Best Western Hotel,48.21
Sam's Sporting Apparel,-4230.69
ACS - Student Loans,-2430.0
Jerome's Furniture,38.15
Netflix Subscription,-89.81998
Von's Groceries,-932.82007
Cancun Beach Resort,13.6

User Id : 16910,
Ralph's Grocery Store,-1133.8401
Comfort Inn,29.84
NBA Ticket - Lakers,-3696.8293
Starbucks Coffee,-1080.5701
Taxi,-2076.54
FedEx Shipping,39.81
Lyft,-2867.9404
Amazon Order - Baby Crib,38.62
Home Depot,36.6
Divorce Lawyer Fees,8.09
Dick's Sporting Goods,-3929.9502
Public Transportation - Bus Pass,-1927.6002
Athletic Apparel,-3513.2
Sprouts Market,-725.14
Restaurant - Pizza,-819.5799
Babies "R" Us,22.36
Wedding Planner,28.16
Amazon Order - Athletic Equipment,-2461.7805
Uber,-2515.9697
Southwest Flights - Cancun,29.86
Paycheck,80380.0
Housing Rent,-18564.0
Kay Jewelry,15.65
Hospital - Prenatal Care,30.99
GNC,-3283.2498
Bike Rental,-4574.159
Refrigerator Depot,31.99
Vitamin Shoppe,-3014.2495
Food Delivery - GrubHub,-1144.29
Mark's Movers,20.57
Restaurant - Steakhouse,-1195.4801
Public Transportation - Train Pass,-2392.48
Hamilton Move & Storage,16.57
Whole Foods,-763.87
Restaurant - Burgers,-1278.0499
Restaurant - Chinese,-1494.31
Total Gym Fees,-3904.3198
Credit Card Payment,-2772.0
BuyBuyBaby.com,27.39
NFL Ticket - Chargers,-4479.6094
Best Western Hotel,19.26
Sam's Sporting Apparel,-3994.2803
Jerome's Furniture,18.01
Von's Groceries,-1053.7802
Cancun Beach Resort,21.38

User Id : 43634,
Ralph's Grocery Store,-1087.0302
Comfort Inn,14.85
Starbucks Coffee,-1432.2604
Water & Sewer,-954.0
Taxi,-1867.3696
FedEx Shipping,17.11
Lyft,-2513.4001
Amazon Order - Baby Crib,9.71
Home Depot,25.62
Divorce Lawyer Fees,59.76
Bowling,-3251.5498
Public Transportation - Bus Pass,-2438.0298
John's Bar & Restaurant,-3264.789
Sprouts Market,-877.91
Restaurant - Pizza,-1458.1598
Babies "R" Us,5.35
Wedding Planner,38.47
Uber,-3136.5906
Wine Bar,-3629.8801
Southwest Flights - Cancun,26.6
Concert Ticket,-2288.8403
Paycheck,9125.0
Housing Rent,-20167.0
Kay Jewelry,115.15
Hospital - Prenatal Care,38.69
Seaside Bar,-2646.03
Karaoke Bar,-3958.9597
Refrigerator Depot,37.37
Food Delivery - GrubHub,-1731.2198
Mark's Movers,26.85
Restaurant - Steakhouse,-975.51996
Rodriguez's Bar and Grill,-3325.83
Public Transportation - Train Pass,-2370.2302
Movie Ticket,-2224.03
Hamilton Move & Storage,24.92
Whole Foods,-1382.97
Restaurant - Burgers,-1456.6599
Restaurant - Chinese,-957.26996
Ice Skating Rink,-3055.43
Fisker Night Club,-2682.7703
Credit Card Payment,-2772.0
BuyBuyBaby.com,15.02
Gas & Electric,-576.0
Best Western Hotel,11.48
Green Flash Brewery,-2256.8298
ACS - Student Loans,-2430.0
Jerome's Furniture,17.2
Owl Night Club,-2548.4697
Netflix Subscription,-89.81998
Von's Groceries,-1351.2
Cancun Beach Resort,37.63

User Id : 94976,
Ralph's Grocery Store,-674.36
Comfort Inn,19.12
NBA Ticket - Lakers,-3571.3496
Starbucks Coffee,-1048.81
Water & Sewer,-954.0
Taxi,-2216.7903
FedEx Shipping,19.03
Lyft,-2121.74
Amazon Order - Baby Crib,6.12
Home Depot,30.15
Divorce Lawyer Fees,84.31
Dick's Sporting Goods,-2917.1702
Public Transportation - Bus Pass,-2208.59
Athletic Apparel,-4002.1003
Restaurant - Pizza,-1314.1199
Sprouts Market,-1194.4401
Babies "R" Us,20.71
Wedding Planner,0.45
Uber,-1787.6
Amazon Order - Athletic Equipment,-3211.15
Time Warner Cable,-450.0
Southwest Flights - Cancun,27.03
Paycheck,24626.0
Housing Rent,-19594.0
Kay Jewelry,25.44
Hospital - Prenatal Care,21.38
Bike Rental,-4213.72
GNC,-3189.1494
Refrigerator Depot,0.97
Vitamin Shoppe,-3933.9995
Food Delivery - GrubHub,-1333.0901
Mark's Movers,110.67
Restaurant - Steakhouse,-1158.3999
Public Transportation - Train Pass,-2776.05
Hamilton Move & Storage,39.59
Whole Foods,-1395.2799
Restaurant - Burgers,-1016.48
Restaurant - Chinese,-1389.38
Total Gym Fees,-4248.2603
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,25.8
Gas & Electric,-576.0
NFL Ticket - Chargers,-3882.1199
Best Western Hotel,1.6
Sam's Sporting Apparel,-3348.1304
ACS - Student Loans,-2430.0
Jerome's Furniture,32.36
Netflix Subscription,-89.81998
Von's Groceries,-1101.7098
Cancun Beach Resort,1.29

User Id : 43305,
Ralph's Grocery Store,-992.2101
Comfort Inn,13.76
NBA Ticket - Lakers,-2705.8306
Starbucks Coffee,-1251.2999
Taxi,-2603.1802
FedEx Shipping,35.66
Lyft,-2169.7195
Amazon Order - Baby Crib,102.96
Home Depot,32.07
Divorce Lawyer Fees,115.12
Dick's Sporting Goods,-4775.711
Athletic Apparel,-3303.1697
Public Transportation - Bus Pass,-2097.9602
Restaurant - Pizza,-1274.37
Sprouts Market,-1006.6201
Wedding Planner,25.52
Babies "R" Us,37.59
Uber,-2362.2498
Amazon Order - Athletic Equipment,-3529.2903
Time Warner Cable,-450.0
Southwest Flights - Cancun,2.96
Paycheck,14852.0
Housing Rent,-18247.0
Kay Jewelry,0.07
Hospital - Prenatal Care,65.78
GNC,-4341.6294
Bike Rental,-3559.5405
Refrigerator Depot,81.57
Vitamin Shoppe,-3528.0403
Food Delivery - GrubHub,-1474.2601
Mark's Movers,14.7
Restaurant - Steakhouse,-993.01
Public Transportation - Train Pass,-2422.7795
Hamilton Move & Storage,3.12
Whole Foods,-1216.7302
Restaurant - Burgers,-1418.71
Restaurant - Chinese,-1434.73
Total Gym Fees,-3875.7593
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
BuyBuyBaby.com,8.38
NFL Ticket - Chargers,-3648.2002
Best Western Hotel,15.17
Sam's Sporting Apparel,-3530.829
Jerome's Furniture,37.74
Von's Groceries,-1404.2802
Cancun Beach Resort,98.35

User Id : 3056,
Ralph's Grocery Store,-1370.0901
Starbucks Coffee,-661.09
Water & Sewer,-954.0
Taxi,-2544.7598
FedEx Shipping,26.88
Lyft,-2457.05
Amazon Order - Baby Crib,3.35
Home Depot,29.14
Goods2 - ThinkGeek,-3266.5608
Public Transportation - Bus Pass,-1979.77
Amazon Order - Biology Book,-3357.81
Restaurant - Pizza,-758.87
Sprouts Market,-1002.95984
Wedding Planner,39.64
Babies "R" Us,34.34
Uber,-2244.9001
Southwest Flights - Cancun,30.22
Housing Rent,-18751.0
Kay Jewelry,3.11
Paycheck,18070.0
Hospital - Prenatal Care,28.46
Refrigerator Depot,35.14
DVD - Star Trek,-2252.4395
Amazon Order - Star Wars Figurine,-2174.2693
Coffee,-2242.89
Food Delivery - GrubHub,-844.72
Mark's Movers,32.93
Restaurant - Steakhouse,-1084.7799
Public Transportation - Train Pass,-2083.5
Hamilton Move & Storage,20.95
Science Museum,-2681.7393
Whole Foods,-1896.4397
Art Museum,-2917.8704
Mary's Book Store,-3056.251
Restaurant - Burgers,-1487.7701
Amazon Order - Science Book,-2522.93
Restaurant - Chinese,-944.03
BuyBuyBaby.com,36.07
Video Game - PlayStation,-2572.34
Jerome's Furniture,6.94
Amazon Order - Mathematics Book,-2632.8704
Online Education Courses,-2400.8699
San Diego Museum,-2739.6304
Von's Groceries,-1067.63
Library Membership,-2564.39
Cancun Beach Resort,7.42

User Id : 93777,
Ralph's Grocery Store,-837.37006
Starbucks Coffee,-808.5899
Taxi,-2255.41
FedEx Shipping,0.32
Lyft,-1974.4901
Amazon Order - Baby Crib,12.9
Home Depot,31.52
Goods2 - ThinkGeek,-2788.7097
Public Transportation - Bus Pass,-2334.9104
Amazon Order - Biology Book,-3727.3906
Sprouts Market,-1118.01
Restaurant - Pizza,-1031.46
Wedding Planner,56.27
Babies "R" Us,8.19
Uber,-2122.8
Southwest Flights - Cancun,37.25
Paycheck,56680.0
Housing Rent,-20002.0
Kay Jewelry,28.66
Hospital - Prenatal Care,22.0
Refrigerator Depot,80.32
DVD - Star Trek,-2701.4497
Amazon Order - Star Wars Figurine,-3761.1
Food Delivery - GrubHub,-1323.9098
Coffee,-3006.14
Mark's Movers,14.55
Restaurant - Steakhouse,-1255.3402
Public Transportation - Train Pass,-2892.5203
Hamilton Move & Storage,41.08
Whole Foods,-797.98004
Science Museum,-2739.6692
Art Museum,-2960.1401
Mary's Book Store,-2491.5205
Restaurant - Burgers,-1160.8401
Amazon Order - Science Book,-2370.21
Restaurant - Chinese,-795.0999
Navient - Student Loans,-3546.0
BuyBuyBaby.com,0.98
ACS - Student Loans,-2430.0
Video Game - PlayStation,-3000.3298
Jerome's Furniture,3.39
Amazon Order - Mathematics Book,-2456.2893
Online Education Courses,-2506.51
San Diego Museum,-2417.85
Netflix Subscription,-89.81998
Von's Groceries,-1192.93
Library Membership,-3016.7397
Cancun Beach Resort,32.21

User Id : 61519,
Credit Card Overdraft Fee,-1591.6803
Ralph's Grocery Store,-956.4901
Comfort Inn,4.09
NBA Ticket - Lakers,-3081.2598
Starbucks Coffee,-1243.5898
Water & Sewer,-954.0
Taxi,-2448.45
FedEx Shipping,9.33
Housing Rent - Late Fee,-595.24
Lyft,-2934.16
Amazon Order - Baby Crib,107.2
Home Depot,19.18
Divorce Lawyer Fees,56.43
Dick's Sporting Goods,-3066.8096
Public Transportation - Bus Pass,-2713.0596
Athletic Apparel,-3951.1497
Sprouts Market,-916.7799
Restaurant - Pizza,-1319.5996
Wedding Planner,114.71
Babies "R" Us,0.61
Amazon Order - Athletic Equipment,-2647.1094
Uber,-1761.3398
Southwest Flights - Cancun,69.48
Paycheck,49606.0
Housing Rent,-20600.0
Bank Fee - Negative Balance,-542.75995
Kay Jewelry,31.25
Hospital - Prenatal Care,10.4
GNC,-4027.3003
Bike Rental,-3024.5898
Refrigerator Depot,25.66
Vitamin Shoppe,-3716.3398
Food Delivery - GrubHub,-1161.94
Time Warne Cable - Late Payment Fee,-522.48
Mark's Movers,12.41
Restaurant - Steakhouse,-1460.2399
Public Transportation - Train Pass,-2545.9004
Hamilton Move & Storage,20.21
Whole Foods,-1217.97
Restaurant - Burgers,-984.33
Restaurant - Chinese,-1270.0199
Total Gym Fees,-2809.73
Water & Sewer - Late Payment Penalty,-580.80005
BuyBuyBaby.com,15.45
Gas & Electric,-576.0
NFL Ticket - Chargers,-4526.1587
Best Western Hotel,88.26
Sam's Sporting Apparel,-2764.01
Jerome's Furniture,35.42
Von's Groceries,-706.52
Cancun Beach Resort,22.5

User Id : 7338,
Podcast Subscription,-3454.33
Ralph's Grocery Store,-950.72015
Red Box DVD Rental,-4131.829
PlayStation Membership,-3200.4695
Starbucks Coffee,-1195.3098
Taxi,-2299.5698
FedEx Shipping,20.95
Lyft,-2337.6702
Amazon Order - Baby Crib,12.04
On Demand Movie,-3169.0498
Home Depot,28.5
Pet Smart,-3487.1309
Public Transportation - Bus Pass,-2376.1003
Pet Supply - Cat Food,-3924.81
Sprouts Market,-1069.0499
Restaurant - Pizza,-1306.63
Wedding Planner,7.75
Babies "R" Us,17.55
Uber,-2567.87
Wine Delivery,-3081.6592
Time Warner Cable,-450.0
Southwest Flights - Cancun,7.88
Housing Rent,-19809.0
Kay Jewelry,16.99
Paycheck,6594.0
Hospital - Prenatal Care,8.69
Refrigerator Depot,0.65
Food Delivery - Uber Eats,-3589.4814
Food Delivery - GrubHub,-4834.501
Mark's Movers,9.74
Restaurant - Steakhouse,-1054.65
Public Transportation - Train Pass,-2171.4998
Hamilton Move & Storage,110.99
Whole Foods,-923.02
Restaurant - Burgers,-1211.96
Restaurant - Chinese,-1358.7802
Credit Card Payment,-2772.0
BuyBuyBaby.com,0.5
On Demand TV,-4544.159
Jerome's Furniture,40.65
Von's Groceries,-1110.6201
Cancun Beach Resort,102.21

User Id : 7305,
Ralph's Grocery Store,-1164.0901
Comfort Inn,5.94
Starbucks Coffee,-882.44
Taxi,-2952.8506
FedEx Shipping,19.16
Lyft,-2357.63
Amazon Order - Baby Crib,21.24
Home Depot,38.02
Divorce Lawyer Fees,6.05
Bowling,-3559.2595
Public Transportation - Bus Pass,-2516.01
John's Bar & Restaurant,-3559.0603
Restaurant - Pizza,-956.9801
Sprouts Market,-1543.84
Babies "R" Us,30.89
Wedding Planner,108.6
Uber,-2236.431
Wine Bar,-2659.7402
Time Warner Cable,-450.0
Southwest Flights - Cancun,16.45
Concert Ticket,-2886.4407
Paycheck,32872.0
Housing Rent,-19136.0
Kay Jewelry,16.18
Hospital - Prenatal Care,3.04
Seaside Bar,-2802.3394
Karaoke Bar,-3687.1199
Refrigerator Depot,20.98
Food Delivery - GrubHub,-1336.4102
Mark's Movers,44.26
Restaurant - Steakhouse,-1518.9801
Rodriguez's Bar and Grill,-2797.9001
Public Transportation - Train Pass,-2176.0498
Movie Ticket,-3475.5503
Hamilton Move & Storage,10.88
Whole Foods,-889.1801
Restaurant - Burgers,-951.96
Restaurant - Chinese,-1442.0701
Ice Skating Rink,-3216.7097
Fisker Night Club,-2846.0898
BuyBuyBaby.com,89.6
Best Western Hotel,25.07
Green Flash Brewery,-3128.2307
ACS - Student Loans,-2430.0
Jerome's Furniture,2.13
Owl Night Club,-2410.3203
Von's Groceries,-1242.6001
Cancun Beach Resort,17.73

User Id : 32320,
Ralph's Grocery Store,-1062.95
Comfort Inn,2.76
Starbucks Coffee,-1046.29
Water & Sewer,-954.0
Taxi,-2503.6802
FedEx Shipping,5.8
Lyft,-2387.8699
Home Depot,28.58
Divorce Lawyer Fees,9.78
Bowling,-2567.2505
Public Transportation - Bus Pass,-2487.6506
John's Bar & Restaurant,-2860.8298
Sprouts Market,-908.61017
Restaurant - Pizza,-1319.8201
Uber,-2079.3801
Wine Bar,-3115.0
Concert Ticket,-3822.8804
Paycheck,67920.0
Housing Rent,-17423.0
Seaside Bar,-2971.1401
Karaoke Bar,-3529.4995
Refrigerator Depot,62.12
Food Delivery - GrubHub,-1505.6299
Mark's Movers,7.26
Restaurant - Steakhouse,-912.4299
Rodriguez's Bar and Grill,-3781.86
Public Transportation - Train Pass,-1830.4307
Movie Ticket,-3108.7703
Hamilton Move & Storage,3.61
Whole Foods,-749.8299
Restaurant - Burgers,-1472.2101
Restaurant - Chinese,-1021.38995
Ice Skating Rink,-2906.4597
Fisker Night Club,-2182.93
Credit Card Payment,-2772.0
Navient - Student Loans,-3546.0
Gas & Electric,-576.0
Best Western Hotel,36.52
Green Flash Brewery,-2958.7295
ACS - Student Loans,-2430.0
Jerome's Furniture,2.12
Owl Night Club,-4031.9697
Netflix Subscription,-89.81998
Von's Groceries,-1764.3297

User Id : 88199,
Podcast Subscription,-3217.3296
Ralph's Grocery Store,-1074.7201
Red Box DVD Rental,-4067.651
PlayStation Membership,-3320.7793
Starbucks Coffee,-1235.87
Water & Sewer,-954.0
Taxi,-3270.41
FedEx Shipping,30.01
Lyft,-2425.1792
Amazon Order - Baby Crib,75.01
On Demand Movie,-4200.6
Home Depot,6.39
Pet Smart,-3399.7598
Pet Supply - Cat Food,-3642.7407
Public Transportation - Bus Pass,-2730.5698
Restaurant - Pizza,-1417.6102
Babies "R" Us,22.12
Sprouts Market,-1311.3202
Wedding Planner,15.2
Uber,-3404.1003
Wine Delivery,-3756.18
Southwest Flights - Cancun,32.76
Paycheck,51300.0
Housing Rent,-19995.0
Kay Jewelry,36.71
Hospital - Prenatal Care,10.44
Refrigerator Depot,10.74
Food Delivery - Uber Eats,-3761.08
Food Delivery - GrubHub,-5065.29
Mark's Movers,6.65
Restaurant - Steakhouse,-960.67993
Public Transportation - Train Pass,-2284.91
Hamilton Move & Storage,5.89
Whole Foods,-1714.8099
Restaurant - Burgers,-1232.9901
Restaurant - Chinese,-919.5501
BuyBuyBaby.com,18.22
Navient - Student Loans,-3546.0
On Demand TV,-2765.7896
Gas & Electric,-576.0
ACS - Student Loans,-2430.0
Jerome's Furniture,9.01
Netflix Subscription,-89.81998
Von's Groceries,-1231.46
Cancun Beach Resort,31.14

User Id : 94501,
Ralph's Grocery Store,-1035.21
Comfort Inn,39.87
Starbucks Coffee,-1427.9498
Taxi,-2559.12
FedEx Shipping,40.18
Lyft,-3041.0
Amazon Order - Baby Crib,28.27
Home Depot,10.18
Divorce Lawyer Fees,72.43
Bowling,-2749.43
Public Transportation - Bus Pass,-2606.0603
John's Bar & Restaurant,-2554.5503
Sprouts Market,-1169.3401
Restaurant - Pizza,-1421.4302
Babies "R" Us,5.3
Wedding Planner,24.8
Uber,-2097.1697
Wine Bar,-2540.4207
Time Warner Cable,-450.0
Southwest Flights - Cancun,13.89
Concert Ticket,-2826.2197
Paycheck,40920.0
Housing Rent,-20682.0
Kay Jewelry,32.16
Hospital - Prenatal Care,9.85
Karaoke Bar,-2988.9792
Seaside Bar,-2943.7903
Refrigerator Depot,16.21
Food Delivery - GrubHub,-1439.05
Mark's Movers,35.79
Restaurant - Steakhouse,-815.37
Rodriguez's Bar and Grill,-3864.099
Public Transportation - Train Pass,-2678.771
Movie Ticket,-2475.0002
